number,name,comb
0,StdMix1_1,1.0
1,StdMix1_2,0.80105304023
2,StdMix1_3,1.0
3,StdMix1_4,2.75118030028e-05
4,StdMix1_5,1.0
5,StdMix1_6,1.11835350011e-06
6,StdMix1_7,1.0
7,StdMix1_8,1.0
8,StdMix1_9,1.0
9,StdMix1_10,0.631255675113
10,StdMix1_11,1.0
11,StdMix1_12,1.0
12,StdMix1_13,0.594099999959
13,StdMix1_14,1.79784000018e-07
14,StdMix1_15,0.99505
15,StdMix1_16,1.50809175015e-05
16,StdMix1_17,3.53717100035e-06
17,StdMix1_18,0.910850499991
18,StdMix1_19,1.0
19,StdMix1_20,1.0
20,StdMix1_21,0.009999999901
21,StdMix1_22,0.760516029976
22,StdMix1_23,2.15127000022e-07
23,StdMix1_24,1.0
24,StdMix1_25,1.64458800016e-06
25,StdMix1_26,1.0
26,StdMix1_27,1.0
27,StdMix1_28,3.9699000004e-06
28,StdMix1_29,1.0
29,StdMix1_30,5.07523500051e-05
30,StdMix1_31,0.00165001320017
31,StdMix1_32,0.000652509000065
32,StdMix1_33,1.16342325012e-05
33,StdMix1_34,0.742053005174
34,StdMix1_35,0.960399999996
35,StdMix1_36,1.0
36,StdMix1_37,1.0
37,StdMix1_38,1.43550000014e-09
38,StdMix1_39,1.0
39,StdMix1_40,1.0
40,StdMix1_41,1.0
41,StdMix1_42,1.0
42,StdMix1_43,1.0
43,StdMix1_44,0.50004999995
44,StdMix1_45,1.0
45,StdMix1_46,1.0
46,StdMix1_47,1.0
47,StdMix1_48,0.665132499967
48,StdMix1_49,0.000854874900085
49,StdMix1_50,0.336699999934
50,StdMix1_51,0.00840906990084
51,StdMix1_52,0.351301509935
52,StdMix1_53,2.9700000003e-09
53,StdMix1_54,0.000333466650033
54,StdMix1_55,1.0
55,StdMix1_56,1.0
56,StdMix1_57,8.61399000086e-05
57,StdMix1_58,0.930699999993
58,StdMix1_59,0.00328229550033
59,StdMix1_60,0.518560524952
60,StdMix1_61,0.00159431085016
61,StdMix1_62,1.12315500011e-07
62,StdMix1_63,9.999000001e-07
63,StdMix1_64,2.82150000028e-07
64,StdMix1_65,0.009999999901
65,StdMix1_66,1.89090000019e-06
66,StdMix1_67,0.910899999991
67,StdMix1_68,1.52885700015e-06
68,StdMix1_69,1.0
69,StdMix1_70,7.52400000075e-09
70,StdMix1_71,0.0791881299079
71,StdMix1_72,0.00435650490044
72,StdMix1_74,0.970002999997
73,StdMix1_75,0.910404999991
74,StdMix1_76,1.0
75,StdMix1_77,1.0
76,StdMix1_78,8.36550000084e-09
77,StdMix1_79,1.0
78,StdMix1_80,1.0
79,StdMix1_81,0.950202999995
80,StdMix1_84,1.0
81,StdMix1_85,0.116331746713
82,StdMix1_86,0.980150499998
83,StdMix1_87,1.0
84,StdMix1_88,1.0
85,StdMix1_89,5.14800000051e-07
86,StdMix1_90,3.31650000033e-09
87,StdMix1_91,0.742203999974
88,StdMix1_92,0.0119249311512
89,StdMix1_98,0.0409043101541
90,StdMix1_99,0.970250499997
91,StdMix1_101,0.00248238540025
92,StdMix1_102,0.0
93,StdMix1_103,0.905949999991
94,StdMix1_104,0.000156328425016
95,414353,7.82100000078e-09
96,309500,1.0028700001e-07
97,510307,9.94950000099e-09
98,23694275,3.24670500032e-07
99,203304,5.9895000006e-09
100,10777223,0.0
101,179275,6.58399500066e-05
102,548576,0.000940014900094
103,3767543,0.0
104,1053124,4.90050000049e-08
105,179116,6.18750000062e-09
106,93230,7.22700000072e-09
107,5483941,8.41500000084e-10
108,68766299,3.33095400033e-06
109,11605031,0.0
110,656706,1.46764530015e-05
111,23230939,0.0
112,150449,6.08850000061e-09
113,21087358,0.0
114,2261172,2.9700000003e-10
115,146972,5.64052500056e-07
116,6698,0.0113393560511
117,189135,4.70250000047e-09
118,166642,9.35550000094e-09
119,251861,1.93050000019e-07
120,249693,9.999000001e-07
121,409117,6.9795000007e-09
122,2739947,2.47500000025e-10
123,120209,3.59865000036e-08
124,133341,5.53905000055e-08
125,10443918,1.83645000018e-08
126,19710878,9.999000001e-07
127,1812,6.72210000067e-08
128,70557721,0.0
129,2887784,1.9800000002e-10
130,308448,1.53450000015e-09
131,1626347,3.61350000036e-09
132,114358,5.0490000005e-09
133,4485,0.00125997111913
134,1611002,0.0
135,77852,2.27799000023e-05
136,872413,6.36718500064e-07
137,615532,9.35550000094e-09
138,58801,3.9600000004e-10
139,1174092,2.9700000003e-10
140,29679,3.37456350034e-06
141,147574,1.9651500002e-08
142,441217,1.93050000019e-07
143,11411049,1.68300000017e-09
144,129056,1.33650000013e-09
145,1018457,3.71250000037e-09
146,2015974,0.0
147,20517245,0.0
148,15340163,3.79170000038e-07
149,73555,0.0
150,37775,6.81590250068e-06
151,87159,2.9700000003e-10
152,175650,5.29650000053e-09
153,21679666,8.36550000084e-09
154,44385,8.64963000086e-07
155,53009,0.0
156,11183252,9.999000001e-07
157,26789,9.90000000099e-09
158,524980,3.54123000035e-07
159,673665,1.9800000002e-10
160,297276,1.9800000002e-10
161,342308,1.68300000017e-07
162,3180775,1.33650000013e-09
163,25877,1.48500000015e-10
164,2780408,0.0
165,302660,2.37600000024e-09
166,5476621,0.0
167,328239,3.61350000036e-09
168,637748,3.66300000037e-09
169,13685300,4.0085100004e-07
170,10974217,0.0
171,142423,3.34471500033e-07
172,256788,0.0
173,2727,0.0
174,11821232,1.08900000011e-07
175,10584437,3.86100000039e-09
176,1005766,3.33135000033e-08
177,59326,7.92000000079e-10
178,461498,3.63825000036e-08
179,18736785,0.00583011990058
180,67067582,0.0
181,470893,3.46500000035e-10
182,132679,1.93050000019e-09
183,1623902,4.59162000046e-07
184,6562,0.204567150121
185,331872,2.88090000029e-08
186,128302,1.10385000011e-08
187,442249,0.0
188,38335,3.78180000038e-08
189,219247,3.51400500035e-07
190,444413,1.58400000016e-09
191,128117,0.000722185200072
192,160678,0.0
193,2309,1.60182000016e-07
194,149496,2.47500000025e-09
195,540211,0.460033209946
196,32876,1.12711500011e-07
197,253460,2.47500000025e-10
198,3295936,0.0
199,172239,8.86050000089e-09
200,471997,0.0
201,9909516,9.90000000099e-11
202,10820767,8.81100000088e-09
203,1031322,4.9500000005e-11
204,22224,1.58400000016e-09
205,9882,0.0
206,306311,1.64136060016e-05
207,329661,2.87100000029e-08
208,132725,9.90000000099e-09
209,14812877,0.0
210,346586,5.12626950051e-06
211,76785,0.0
212,639,3.19522500032e-07
213,9856575,7.77150000078e-08
214,351116,3.56895000036e-08
215,4101562,0.412913570743
216,153037,0.0
217,1041542,4.9500000005e-10
218,200022,9.80100000098e-09
219,451662,2.9700000003e-10
220,45121649,4.45500000045e-10
221,10457,0.113891085011
222,87197,6.43351500064e-07
223,103163,0.0121819549512
224,327676,1.64340000016e-06
225,5385,5.67121500057e-05
226,172988,8.91000000089e-09
227,413814,0.0
228,285680,6.28650000063e-09
229,8426,0.90095049999
230,58695271,5.54400000055e-09
231,249942,1.54638000015e-07
232,3965821,0.0
233,3678431,2.48490000025e-08
234,13440,1.39590000014e-08
235,19695853,9.50400000095e-09
236,168863,0.0
237,23675121,2.38590000024e-06
238,58706,1.18800000012e-08
239,510074,6.88050000069e-09
240,146463,0.0
241,338237,4.60350000046e-09
242,281335,0.0
243,212539,0.000766002600077
244,59220,0.0
245,3006664,0.00587250180059
246,621083,7.28640000073e-08
247,248026,3.84615000038e-08
248,142016,1.28205000013e-08
249,562,1.29195000013e-08
250,5187924,8.91000000089e-10
251,149,0.985149999999
252,996676,9.27743850093e-06
253,35647,0.0
254,72688,1.48500000015e-08
255,182533,0.0
256,305862,0.0
257,10105441,4.9500000005e-10
258,353112,1.93050000019e-09
259,256975,3.0393000003e-08
260,308366,7.67250000077e-09
261,3738963,7.43490000074e-08
262,97654,3.80605500038e-07
263,264063,0.0
264,54564890,6.08850000061e-09
265,8925,1.0
266,45051947,1.61112600016e-06
267,9873370,9.90000000099e-09
268,10353314,2.63394450026e-06
269,214811,1.23750000012e-09
270,23405501,0.0
271,316408,1.68300000017e-09
272,8343,0.009999999901
273,663816,0.464409999946
274,184,3.28185000033e-08
275,1727601,4.35600000044e-07
276,144019,1.0
277,175938,3.71477700037e-06
278,60009584,3.11850000031e-09
279,378389,1.12365000011e-08
280,1513046,3.72240000037e-08
281,436801,2.55420000026e-08
282,405403,5.94000000059e-09
283,31983,8.59815000086e-08
284,13319,8.51400000085e-09
285,548081,6.43500000064e-10
286,1915724,0.0
287,26571,5.87268000059e-07
288,38778,0.0
289,248412,1.73250000017e-09
290,724093,0.866151504987
291,131283,7.9690050008e-07
292,729153,7.42500000074e-09
293,23687391,0.0
294,7544,5.73247620057e-05
295,72542,0.000171497601017
296,59270920,6.58350000066e-09
297,1017192,6.63300000066e-09
298,472497,0.000105732099011
299,141059,9.85050000099e-07
300,3441370,3.36600000034e-09
301,57111894,2.07900000021e-09
302,10605254,0.0
303,235259,0.0
304,21731239,1.70179515017e-05
305,73452,4.69804500047e-05
306,350790,0.000377199900038
307,6820187,7.9695000008e-09
308,23692559,0.0
309,476006,2.62350000026e-09
310,10709019,6.93000000069e-09
311,400173,9.40995000094e-08
312,100158,4.80150000048e-09
313,16247540,9.15750000092e-07
314,20248,1.44441000014e-07
315,178215,8.43321600084e-06
316,125001,0.0
317,13433815,0.445190634945
318,12421724,2.46361500025e-07
319,113503,7.29976500073e-07
320,195194,0.0
321,633127,0.0
322,289417,1.9800000002e-10
323,2841590,3.31650000033e-09
324,1143927,0.0485966349049
325,5257941,0.0
326,377596,2.69973000027e-07
327,20758272,8.06850000081e-09
328,64318,0.00188150490019
329,81205,2.47401000025e-05
330,258901,1.53450000015e-09
331,508156,1.13751000011e-07
332,100934,6.54885000065e-07
333,546297,5.33115000053e-08
334,506240,6.18750000062e-09
335,19366150,6.63300000066e-09
336,23687505,1.76056155018e-05
337,109210,1.58400000016e-08
338,10998718,5.14800000051e-09
339,381633,1.34145000013e-08
340,210335,3.0195000003e-09
341,307129,4.9500000005e-11
342,545087,3.06900000031e-09
343,1429073,0.0010127551501
344,6451442,0.0
345,3063283,1.25235000013e-08
346,391492,3.46500000035e-10
347,20660732,0.0
348,433567,1.53945000015e-08
349,257158,9.999000001e-07
350,553934,8.50905000085e-07
351,6329136,2.9700000003e-10
352,12,0.000220502452522
353,523741,0.0
354,1217006,0.0
355,13685203,6.43500000064e-09
356,1661878,4.9500000005e-09
357,269355,0.0
358,482917,2.37105000024e-07
359,20350062,0.0
360,4923,1.90030500019e-07
361,355831,7.46955000075e-05
362,56626,3.46500000035e-10
363,552651,9.90000000099e-09
364,640843,2.77200000028e-09
365,140920,1.82917350018e-06
366,773106,9.90000000099e-09
367,375376,0.0
368,258776,7.85911500079e-07
369,59082269,0.0
370,9874871,0.0
371,216365,6.93000000069e-10
372,260892,2.9700000003e-10
373,150476,4.52925000045e-06
374,89815,4.9500000005e-10
375,188117,3.51450000035e-08
376,475848,0.000216363609022
377,990376,9.90000000099e-11
378,2843733,0.0
379,10678569,0.975249999998
380,21180,5.44500000054e-10
381,11141798,0.009999999901
382,7877,8.0041500008e-08
383,379401,6.86565000069e-06
384,2796770,9.90000000099e-09
385,10106125,0.0
386,57503664,5.14800000051e-09
387,282241,9.05850000091e-09
388,125724,1.09543500011e-07
389,508396,8.9595000009e-09
390,191475,0.0
391,193882,0.0421347861042
392,905,0.806900499981
393,140387,1.42065000014e-08
394,373828,1.87110000019e-08
395,57424775,5.15622195052e-05
396,208708,2.72250000027e-09
397,17955204,0.0
398,207977,9.90000000099e-11
399,52053,6.38550000064e-09
400,13070,2.20522500022e-07
401,281179,8.46450000085e-09
402,571458,4.9500000005e-11
403,85369,7.67250000077e-09
404,2756722,9.999000001e-07
405,645296,9.15750000092e-07
406,60698,4.24710000042e-07
407,386463,9.90000000099e-11
408,249594,6.93000000069e-10
409,143879,3.37590000034e-08
410,514418,0.0
411,329264,6.33600000063e-09
412,54173846,5.19750000052e-09
413,67947,0.0
414,442729,4.9500000005e-11
415,133627,1.9903950002e-07
416,59897606,0.0
417,552864,3.0110850003e-07
418,75671,0.0628422300063
419,10396889,1.08900000011e-09
420,26597148,1.70156250017e-06
421,37984,5.79150000058e-09
422,117431,1.60875000016e-08
423,11285421,5.69250000057e-09
424,35795,2.32650000023e-09
425,444430,0.0
426,281135,0.000241941150024
427,57432360,5.09542605051e-05
428,49828,0.0
429,70420,3.41550000034e-09
430,70708,2.15325000022e-08
431,18769969,7.57350000076e-09
432,119603,4.9500000005e-11
433,113998,0.0
434,23681289,9.10800000091e-07
435,10910570,8.81100000088e-09
436,248639,7.82199000078e-05
437,534733,0.0
438,10537625,0.0
439,59131,2.52450000025e-09
440,3268464,5.09850000051e-09
441,448598,2.47500000025e-10
442,10419364,4.15800000042e-09
443,324411,4.39560000044e-08
444,1843012,8.91000000089e-10
445,20587,8.91000000089e-10
446,20026200,5.44500000054e-10
447,1587,0.0
448,275628,0.0
449,645242,0.0
450,20523613,7.92000000079e-10
451,3986630,6.93000000069e-10
452,815472,5.89545000059e-08
453,5109992,0.0
454,218996,4.9500000005e-11
455,1037119,9.979200001e-08
456,1021585,0.0
457,1218244,4.9500000005e-08
458,381276,7.77150000078e-09
459,42584,0.000264818070026
460,995092,1.78200000018e-09
461,69932,0.0
462,5820942,0.0
463,133245,0.0
464,10878729,1.63350000016e-09
465,11217438,0.0
466,11776,0.0
467,70634472,9.10800000091e-09
468,6327434,3.36600000034e-09
469,3005421,7.92000000079e-10
470,57433946,2.27254500023e-07
471,9990254,0.0
472,17859,5.44500000054e-10
473,1588040,9.85050000099e-09
474,3771601,0.0
475,605078,1.80873000018e-07
476,210053,6.43500000064e-10
477,253344,1.23750000012e-09
478,270878,6.47358525065e-05
479,15446,7.92000000079e-10
480,5123,4.14414000041e-07
481,60182,1.0395000001e-09
482,90520,7.42500000074e-10
483,59934975,0.0
484,1445439,8.36550000084e-09
485,262857,1.28205000013e-08
486,72208,2.72250000027e-07
487,11129944,2.47500000025e-10
488,16033,9.75150000098e-07
489,572402,8.91000000089e-10
490,133591,5.73705000057e-08
491,10305742,5.34600000053e-09
492,17903765,9.90000000099e-09
493,664247,7.42500000074e-10
494,165760,9.60300000096e-09
495,325978,9.90000000099e-09
496,10664588,0.0
497,325208,0.0
498,448078,5.24700000052e-09
499,1060489,3.46500000035e-10
500,519835,9.999990001e-05
501,559961,0.0
502,58217605,9.90000000099e-09
503,637649,0.717651999972
504,78439,3.9600000004e-10
505,4006557,3.71250000037e-09
506,230734,6.9795000007e-09
507,10981303,5.59102500056e-07
508,11762,0.0
509,9894998,0.0
510,145657,3.0492000003e-08
511,802,0.00568703520057
512,217345,9.90000000099e-09
513,119550,0.0
514,4626,0.168152499917
515,131041,0.0
516,621250,1.38600000014e-09
517,1930001,0.0
518,1291734,8.86149000089e-05
519,68940,6.08602500061e-07
520,1111834,0.00376299990038
521,995445,0.0
522,27812,0.0
523,20744049,4.30501500043e-07
524,1521962,0.0
525,83911,6.57013500066e-05
526,10869632,3.60657000036e-07
527,92117,9.55350000096e-09
528,1086097,8.91000000089e-10
529,436047,1.80180000018e-08
530,257933,9.90000000099e-09
531,2802535,2.81952000028e-06
532,498509,1.48500000015e-10
533,2221162,0.0
534,59202652,6.23700000062e-09
535,23237528,0.00737649990074
536,100925,0.0
537,3522698,9.999000001e-07
538,21438697,4.9500000005e-11
539,165314,8.31600000083e-09
540,5252375,2.9700000003e-10
541,367857,0.0
542,161507,8.91000000089e-10
543,19050251,1.9651500002e-08
544,10730383,8.91000000089e-08
545,487680,1.18305000012e-07
546,1327583,0.0
